站號,站名,地址,站別,區域,資料起始日期,撤站日期,城市,經度,緯度,海拔高度(m),備註,原站號,新站號,運作狀態
C0H9C0,合歡山,仁愛鄉(近合歡山三角點，由松雪樓開車約15分鐘，大甲溪事業區第81林班),自動站,中部,2008/2/25,,南投縣,121.272547,24.143442,3402,原(C0F950)站因縣市代碼不符，於2008/2/25重新編碼為(C0H9C0)站。,C0F950,,運行中
C0H9Z0,鹿林山,信義鄉神木段132地號,自動站,中部,2026/6/30,,,,,,,,,運行中
C0HA10,奧萬大,仁愛鄉奧萬大段27地號,自動站,中部,2026/6/30,,,,,,,,,運行中
C0HA20,杉林溪大飯店,竹山鎮杉林溪段5-1地號,自動站,中部,2026/6/30,,,,,,,,,運行中
C0I010,廬山,仁愛鄉精英村富貴路67號前方200公尺(廬山電力公司瞭望台),自動站,中部,1992/5/12,,南投縣,121.181808,24.033311,1562,本站於2015/7/30起進⾏儀器汰換，並於2015/12/31完成驗收。,,,運行中
C0I080,信義,信義鄉自強村綠美巷(內茅埔營林區23林班地),自動站,中部,2015/9/22,,南投縣,120.851036,23.689694,536,原(C1I080)站因擴充為氣象站，於2015/9/22升級為(C0I080)站。,C1I080,,運行中
C0I090,鳳凰,鹿谷鄉鳳凰鳥園旁,自動站,中部,1992/5/5,2024/1/8,南投縣,120.787347,23.728081,910,原（C0I090）氣象站於2024/01/08改為農業站（C2I090）。,,C2I090,已撤站
C0I110,竹山,竹山鎮延和里向學街32號(竹山國民小學內),自動站,中部,1992/5/5,,南投縣,120.688156,23.761225,161,,,,運行中
C0I360,水里,水里鄉中山路一段515號(玉山國家公園管理處),自動站,中部,2015/9/23,,南投縣,120.849792,23.812553,300,,,,運行中
C0I370,魚池,魚池鄉東池村魚池街194號(魚池鄉衛生所),自動站,中部,2015/9/7,,南投縣,120.94135,23.895703,671,,,,運行中
C0I380,集集,集集鎮民生東路1號(農委會特有生物研究保育中心),自動站,中部,2015/9/24,,南投縣,120.801467,23.828206,258,,,,運行中
C0I390,仁愛,仁愛鄉仁和路50號(台電公司仁愛服務所),自動站,中部,2015/8/10,,南投縣,121.132206,24.022122,1184,,,,運行中
C0I410,名間,名間鄉董門巷2號(名間鄉立體停車場),自動站,中部,2015/9/30,,南投縣,120.701447,23.837053,180,,,,運行中
C0I420,國姓,國姓鄉民族街40號(國姓鄉老人文康活動中心),自動站,中部,2015/9/2,,南投縣,120.855072,24.037803,305,,,,運行中
C0I460,南投,南投市龍泉里玉井街5號(南投市公所樓頂),自動站,中部,2015/9/3,,南投縣,120.687331,23.911469,110,,,,運行中
C0I480,梅峰,仁愛鄉大同村仁和路215號(梅峰農場),自動站,中部,2015/10/6,,南投縣,121.173572,24.085272,2165,,,,運行中
C0I490,萬大林道,仁愛鄉曲冰段(萬大林道約7.2k附近高地),自動站,中部,2015/10/7,,南投縣,121.091411,23.928228,1601,,,,運行中
C0I520,玉山風口,信義鄉(玉山主峰往北峰叉路空地附近),自動站,中部,2016/5/22,,南投縣,120.955994,23.470489,3860,,,,運行中
C0I530,小奇萊,仁愛鄉小奇萊步道指標1.5K處附近,自動站,中部,2017/12/28,,南投縣,121.295717,24.131764,3014,,,,運行中
C0I540,奇萊稜線,仁愛鄉奇萊連峰指標6.4K處(奇萊山屋附近),自動站,中部,2017/12/28,,南投縣,121.326456,24.109231,3344,,,,運行中
C0K240,草嶺,古坑鄉草嶺村龍頭,自動站,中部,1992/5/17,2024/1/8,雲林縣,120.693461,23.59555,1132,原（C0K240）氣象站於2024/01/08改為農業站（C2K240）。,,C2K240,已撤站
C0K250,崙背,崙背鄉阿勸村阿勸農場(阿勸段487號),自動站,中部,2015/6/8,2025/8/15,雲林縣,120.318925,23.75555,12,原(C1K250)站因擴充為氣象站，於2015/6/8升級為(C0K250)站。原(C0K250)站因儀器汰換，於2025/8/16轉為農業(C2K250)站。,C1K250,C2K250,已撤站
C0K280,四湖,四湖鄉湖西村中正路766號(四湖國民中學內),自動站,中部,1992/12/5,2025/8/15,雲林縣,120.227125,23.630414,23,本站於2015/7/18起進⾏儀器汰換，並於2015/12/31完成驗收。原(C0K280)站因儀器汰換，於2025/8/16轉為農業(C2K280)站。,,C2K280,已撤站
C0K290,宜梧,口湖鄉口湖村191號木宜梧農場(口湖段下湖口425號),自動站,中部,1992/12/9,2010/9/15,雲林縣,120.172569,23.542158,3,因觀測位置不佳，於2010/9/27更變為(C0K291)站。,,C0K291,已撤站
